,pitch_complexity
output/sonata04-4_fragment_40.musicxml,3.403865050769735
output/sonata21-3_fragment_138.musicxml,2.0
output/sonata25-1_fragment_34.musicxml,1.9565217391304348
output/sonata12-1_fragment_17.musicxml,4.761904761904762
output/sonata06-3_fragment_7.musicxml,2.598440545808967
output/sonata21-3_fragment_42.musicxml,2.8264915161466884
output/sonata15-1_fragment_47.musicxml,1.4583333333333333
output/sonata22-2_fragment_19.musicxml,3.0
output/sonata05-2_fragment_22.musicxml,2.4634146341463414
output/sonata05-3_fragment_13.musicxml,2.3657094594594597
output/sonata14-3_fragment_23.musicxml,2.283783783783784
output/sonata11-2_fragment_1.musicxml,3.3434343434343416
output/sonata07-1_fragment_12.musicxml,1.90625
output/sonata12-4_fragment_12.musicxml,2.2937062937062938
output/sonata03-1_fragment_41.musicxml,1.6875
output/sonata15-1_fragment_42.musicxml,0.5833333333333333
output/sonata24-2_fragment_43.musicxml,2.099056603773585
output/sonata26-1_fragment_56.musicxml,0.29166666666666663
output/sonata10-3_fragment_6.musicxml,3.5037220843672454
output/sonata22-2_fragment_0.musicxml,3.25
output/sonata21-1_fragment_60.musicxml,1.1948051948051948
output/sonata32-1_fragment_23.musicxml,3.631170727256137
output/sonata07-1_fragment_64.musicxml,0.7625
output/sonata29-3_fragment_0.musicxml,2.333333333333333
output/sonata21-3_fragment_19.musicxml,5.36842105263158
output/sonata29-1_fragment_69.musicxml,2.5
output/sonata04-1_fragment_73.musicxml,2.25
output/sonata15-1_fragment_105.musicxml,1.8333333333333335
output/sonata08-3_fragment_19.musicxml,1.4485714285714286
output/sonata30-1_fragment_3.musicxml,9.198860939724732
output/sonata07-4_fragment_17.musicxml,2.7925292529252923
output/sonata21-3_fragment_113.musicxml,1.3125
output/sonata16-3_fragment_63.musicxml,1.8888888888888888
output/sonata17-3_fragment_48.musicxml,2.4000000000000004
output/sonata23-2_fragment_14.musicxml,6.0
output/sonata29-3_fragment_37.musicxml,2.6960907944514503
output/sonata22-1_fragment_0.musicxml,1.3205128205128205
output/sonata15-4_fragment_22.musicxml,1.5458089668615984
output/sonata10-3_fragment_56.musicxml,4.211538461538462
output/sonata16-3_fragment_53.musicxml,1.6229260935143288
output/sonata04-4_fragment_8.musicxml,5.522727272727273
output/sonata07-1_fragment_34.musicxml,1.875
output/sonata31-3_fragment_14.musicxml,1.5416666666666665
